id_tipologia,nombre_descriptivo,nombre_archivo_imagen,descripcion
1,Biofiltro,biofiltro.png,"Los biofiltros son sistemas naturales de remoción de contaminantes de flujo horizontal subsuperficial, que contienen arena, grava y vegetación. Funcionan en simbiosis con microorganismos para degradar contaminantes mediante procesos mecánicos y bioquímicos. "
2,Humedales de tratamiento,humedales_tratamiento.png,"Los humedales son áreas permanentemente húmedas en las que la remoción de contaminantes se realiza mediante la simbiosis plantas-microorganismos conjuntamente con procesos físicos y bioquímicos. Estos sistemas se emplean para el tratamiento secundario, así como para el pulimento de efluentes de otros sistemas de tratamiento."
3,Jardín microcuenca,jardin_microcuenca.png,"El jardín microcuenca está conformado por una o más cavidades al interior de las áreas verdes que se diseñan para retener escorrentías y permitir su infiltración hacia el subsuelo. Es una técnica sencilla y de bajo costo, que puede integrarse a las áreas verdes pequeñas ligadas a la red vial."
4,Jardin de lluvia,jardin_lluvia.png,"Los jardines de lluvia son sistemas que incorporan capas de materiales permeables en los niveles inferiores del suelo, con la finalidad de acelerar el proceso de infiltración del agua y remover algunos contaminantes presentes. En la parte superior se modelan suaves cavidades o microcuencas, que sirven como depósitos para retener la escorrentía."
5,Laguna de retención,laguna_retencion.png,Las lagunas de retención son depresiones suaves en el terreno natural que sirven para almacenar temporalmente la escorrentía y prevenir inundaciones en áreas aledañas. Su drenaje ocurre mediante la percolación lenta a través del suelo hacia capas más profundas. Cuando están secas pueden servir como áreas verdes recreativas o deportivas.
6,Pavimento permeable,pavimento_permeable.png,"Son pavimentos continuos o modulares que permiten la infiltración del agua hacia las capas inferiores del suelo ya que están fabricados con materiales porosos, o bien sus piezas tienen separaciones que permiten el paso del agua entre juntas. Normalmente son utilizados en áreas de tránsito ligero como senderos o áreas deportivas."
7,Plaza de agua,plaza_agua.png,"Las plazas de agua son alamacenamientos temporales de agua pluvial diseñados para cumplir un doble propósito, por un lado captan los picos de tormentas para evitar inundaciones y dar alivio a la saturación del drenaje construido, mientras que cuando se vacían sirven como espacios recreativos, por ejemplo: canchas, anfiteatros, fuentes, área de juegos, etc. "
8,Pozo de infiltración,pozo_infiltracion.png,Son estructuras que tienen la función de aumentar y acelerar la infiltración de agua pluvial al subsuelo mediante excavaciones revestidas que permiten el paso del agua a través de sus paredes y su base.
9,Presa filtrante,presa_filtrante.png,"Son barreras permeables colocadas en sentido transversal a la pendiente con la finalidad de reducir la velocidad de escorrentías y retener el flujo del agua. Además, proporcionan otras ventajas importantes como la disminución de la erosión y la prevención de inundaciones en las áreas bajas."
10,Revegetación de laderas,revegetacion_laderas.png,"Es una técnica que consiste en proveer de cobertura vegetal en las áreas con pendientes pronunciadas, de tal forma que sus raíces refuerzan el suelo para incrementar su estabilidad y evitar la erosión. Esta medida es altamente efectiva para retrasar los flujos de escorrentías y sedimentos que de otra forma podrían incrementar el riesgo de deslizamientos. Además, la presencia de vegetación aumenta la tasa de infiltración de agua a través de su sistema radicular."
11,Zanja-bordo,zanja_bordo.png,"Es una medida empleada para el control de la erosión laminar en laderas, que consisten en un conjunto de zanjas que retienen agua, seguidas por diques o represas que se forman con el material que se extrae de la excavación de las zanjas."
12,Suelo esponja,suelo_esponja.png,"Los suelos esponja son una medida para incrementar la retención de escurrimientos y promover la humedad en las áreas verdes, mediante la incorporación de capas de materiales que permiten absorber una gran cantidad de agua, como grava, tezontle,  aserrín, humus o astillas de madera (acolchado)."